text,entities
"mau masak ayam goreng","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 10, 'end': 14}, {'entity': 'TEKNIK_MASAK', 'value': 'goreng', 'start': 15, 'end': 21}]"
"pengen bikin rendang sapi","[{'entity': 'TEKNIK_MASAK', 'value': 'rendang', 'start': 13, 'end': 20}, {'entity': 'BAHAN_UTAMA', 'value': 'sapi', 'start': 21, 'end': 25}]"
"ada resep ikan bakar ga","[{'entity': 'BAHAN_UTAMA', 'value': 'ikan', 'start': 10, 'end': 14}, {'entity': 'TEKNIK_MASAK', 'value': 'bakar', 'start': 15, 'end': 20}]"
"cariin resep sayur asem dong","[{'entity': 'BAHAN_UTAMA', 'value': 'sayur', 'start': 14, 'end': 19}]"
"mau masak udang yang gak pake santan","[{'entity': 'BAHAN_UTAMA', 'value': 'udang', 'start': 10, 'end': 15}, {'entity': 'BAHAN_HINDARI', 'value': 'santan', 'start': 30, 'end': 36}]"
"pengen bikin pasta tanpa keju","[{'entity': 'BAHAN_UTAMA', 'value': 'pasta', 'start': 13, 'end': 18}, {'entity': 'BAHAN_HINDARI', 'value': 'keju', 'start': 25, 'end': 29}]"
"masak ayam tanpa minyak","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 6, 'end': 10}, {'entity': 'BAHAN_HINDARI', 'value': 'minyak', 'start': 17, 'end': 23}]"
"aku diabetes jadi ga boleh gula","[{'entity': 'KONDISI_KESEHATAN', 'value': 'diabetes', 'start': 4, 'end': 12}, {'entity': 'BAHAN_HINDARI', 'value': 'gula', 'start': 27, 'end': 31}]"
"kolesterol tinggi ga bisa santan","[{'entity': 'KONDISI_KESEHATAN', 'value': 'kolesterol', 'start': 0, 'end': 10}, {'entity': 'BAHAN_HINDARI', 'value': 'santan', 'start': 26, 'end': 32}]"
"alergi seafood jadi ga makan udang","[{'entity': 'KONDISI_KESEHATAN', 'value': 'alergi seafood', 'start': 0, 'end': 14}, {'entity': 'BAHAN_HINDARI', 'value': 'udang', 'start': 29, 'end': 34}]"
"pengen yang pedas banget","[{'entity': 'PREFERENSI_RASA', 'value': 'pedas', 'start': 11, 'end': 16}]"
"mau yang manis gurih","[{'entity': 'PREFERENSI_RASA', 'value': 'manis', 'start': 8, 'end': 13}, {'entity': 'PREFERENSI_RASA', 'value': 'gurih', 'start': 14, 'end': 19}]"
"yang seger seger aja","[{'entity': 'PREFERENSI_RASA', 'value': 'segar', 'start': 5, 'end': 10}]"
"mau yang berkuah","[{'entity': 'TEKNIK_MASAK', 'value': 'berkuah', 'start': 9, 'end': 16}]"
"pengen yang digoreng crispy","[{'entity': 'TEKNIK_MASAK', 'value': 'goreng', 'start': 12, 'end': 18}]"
"masak yang direbus aja biar sehat","[{'entity': 'TEKNIK_MASAK', 'value': 'rebus', 'start': 12, 'end': 17}]"
"bikin tumis kangkung","[{'entity': 'TEKNIK_MASAK', 'value': 'tumis', 'start': 6, 'end': 11}, {'entity': 'BAHAN_UTAMA', 'value': 'kangkung', 'start': 12, 'end': 20}]"
"ayam panggang tanpa garam","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 0, 'end': 4}, {'entity': 'TEKNIK_MASAK', 'value': 'panggang', 'start': 5, 'end': 13}, {'entity': 'BAHAN_HINDARI', 'value': 'garam', 'start': 20, 'end': 25}]"
"masakan vegetarian tanpa daging","[{'entity': 'KONDISI_KESEHATAN', 'value': 'vegetarian', 'start': 8, 'end': 18}, {'entity': 'BAHAN_HINDARI', 'value': 'daging', 'start': 25, 'end': 31}]"
